method,dimension,group,mean,std,n_seeds
modular,depth,3,0.0,0.0,10
modular,depth,4,0.10554703476482619,0.022961736678881347,10
modular,operator,after,0.10501022494887527,0.024255624785094444,10
modular,operator,and,0.10608384458077709,0.022486171391870396,10
modular,operator,around,0.10533163265306122,0.02291487599178159,10
modular,operator,direction,0.10533163265306122,0.02291487599178159,10
modular,operator,opposite,0.18379934210526314,0.044589004874151746,10
modular,operator,thrice,0.06563940092165899,0.01584796547183534,10
modular,operator,twice,0.22074353448275863,0.048067840903392146,10
random_init_t5,depth,3,0.0,0.0,10
random_init_t5,depth,4,0.0,0.0,10
random_init_t5,operator,after,0.0,0.0,10
random_init_t5,operator,and,0.0,0.0,10
random_init_t5,operator,around,0.0,0.0,10
random_init_t5,operator,direction,0.0,0.0,10
random_init_t5,operator,opposite,0.0,0.0,10
random_init_t5,operator,thrice,0.0,0.0,10
random_init_t5,operator,twice,0.0,0.0,10
random_structure,depth,3,0.0,0.0,10
random_structure,depth,4,0.06584867075664622,0.02231542873509352,10
random_structure,operator,after,0.06365030674846625,0.02245644657043806,10
random_structure,operator,and,0.06804703476482618,0.02688408724970008,10
random_structure,operator,around,0.06571428571428571,0.022269887043797412,10
random_structure,operator,direction,0.06571428571428571,0.022269887043797412,10
random_structure,operator,opposite,0.09851973684210527,0.05303946933197526,10
random_structure,operator,thrice,0.03940092165898618,0.01677543577969764,10
random_structure,operator,twice,0.13507543103448277,0.04898512071707424,10
reference_t5,depth,3,0.0,0.0,10
reference_t5,depth,4,0.07119120654396728,0.02701836463433218,10
reference_t5,operator,after,0.07024539877300615,0.028590471822326033,10
reference_t5,operator,and,0.07213701431492843,0.03142261525697628,10
reference_t5,operator,around,0.07104591836734694,0.026963225114670277,10
reference_t5,operator,direction,0.07104591836734694,0.026963225114670277,10
reference_t5,operator,opposite,0.0837171052631579,0.06120592034507594,10
reference_t5,operator,thrice,0.03320852534562212,0.021918877699227148,10
reference_t5,operator,twice,0.14601293103448276,0.056505101688945354,10
shuffled_structure,depth,3,0.0,0.0,10
shuffled_structure,depth,4,0.0739519427402863,0.02209171725923874,10
shuffled_structure,operator,after,0.07924335378323108,0.02069412221522001,10
shuffled_structure,operator,and,0.06866053169734151,0.026139863987741176,10
shuffled_structure,operator,around,0.07380102040816326,0.022046632121974986,10
shuffled_structure,operator,direction,0.07380102040816326,0.022046632121974986,10
shuffled_structure,operator,opposite,0.07787828947368422,0.04725586206798472,10
shuffled_structure,operator,thrice,0.030069124423963135,0.015312423245153962,10
shuffled_structure,operator,twice,0.1412176724137931,0.03289085633045975,10
simple_consistency,depth,3,0.0,0.0,10
simple_consistency,depth,4,0.06388036809815952,0.01272451078929471,10
simple_consistency,operator,after,0.06385480572597138,0.01713242657348139,10
simple_consistency,operator,and,0.06390593047034765,0.012153407859356124,10
simple_consistency,operator,around,0.06375,0.012698542399928802,10
simple_consistency,operator,direction,0.06375,0.012698542399928802,10
simple_consistency,operator,opposite,0.06447368421052632,0.06615305237760008,10
simple_consistency,operator,thrice,0.025460829493087554,0.023275976432343328,10
simple_consistency,operator,twice,0.13389008620689655,0.026960300996844745,10
